<div>absence</div>	<div>缺席</div> <div>The decision was made in my absence</div>
<div>absolute</div>	<div>total and complete a class for absolute beginners</div>
<div>absorb</div>	<div>吸收</div> <div>to take in a liquid, gas or other substance from the surface or space around absorb something Plants absorb carbon dioxide from the air. Let the rice cook until it has absorbed all the water. absorb something into something The cream is easily absorbed into the skin.</div>
<div>abuse</div>	<div>濫用</div> <div>the use of something in a way that is wrong or harmful synonym misuse alcohol/drug/solvent abuse The system of paying cash bonuses is open to abuse (= might be used in the wrong way). abuse of something He was arrested on charges of corruption and abuse of power. What she did was an abuse of her position as manager.</div>
<div>academic</div>	<div>學術的</div> <div>connected with education, especially studying in schools and universities The students return in October for the start of the new academic year. high/low academic standards an academic career</div>
<div>accent</div>	<div>口音</div> <div>a way of pronouncing the words of a language that shows which country, area or social class a person comes from a northern/Dublin/Indian/Scottish accent a strong/broad accent (= one that is very noticeable) She spoke English with an accent.</div>
<div>accident</div>	<div>意外</div>
<div>accommodation</div>	<div>住所</div> <div>a place to live, work or stay in rented/temporary/furnished accommodation Hotel accommodation is included in the price of your holiday. The building plans include much needed new office accommodation. First-class accommodation is available on all flights.</div>
<div>whistle</div>	<div>哨子</div> <div>a small metal or plastic tube that you blow to make a loud high sound, used to attract attention or as a signal The referee finally blew the whistle to stop the game.</div>
<div>beyond</div>	<div>以外</div> <div>on or to the further side of something The road continues beyond the village up into the hills.  later than a particular time It won't go on beyond midnight. I know what I'll be doing for the next three weeks but I haven't thought beyond that.</div>
<div>beyond your ken</div>	<div>(old-fashioned) if something is beyond your ken, you do not know enough about it to be able to understand it</div>
<div>willingly</div>	<div>樂意</div> <div>in a way that shows you are happy or pleased to do something or that you do not object to doing something People would willingly pay more for better services. I would never willingly upset you.</div>
<div>innocent</div>	<div>無辜</div> <div>not guilty of a crime, etc.; not having done something wrong They have imprisoned an innocent man. innocent (of something) She was found innocent of any crime. He was the innocent party (= person) in the breakdown of the marriage. There must be an innocent explanation for her behaviour.</div>
<div>march</div>	<div>行軍</div> <div>to walk with stiff regular steps like a soldier (+ adv./prep.) Soldiers were marching up and down outside the government buildings. Quick march! (= the order to start marching) + noun They marched 20 miles to reach the capital.</div>
<div>discipline</div>	<div>紀律</div> <div>the practice of training people to obey rules and orders and punishing them if they do not; the controlled behaviour or situation that results from this training The school has a reputation for high standards of discipline. Strict discipline is imposed on army recruits. She keeps good discipline in class. Lack of discipline at home meant that many pupils found it difficult to settle in to the ordered environment of the school.</div>
<div>enchanting</div>	<div>迷人</div> <div>an enchanting view</div>
<div>committee</div>	<div>委員會</div> <div>a group of people who are chosen, usually by a larger group, to make decisions or to deal with a particular subject She's on the management committee. The committee has/have decided to close the restaurant. a committee member/a member of the committee a committee meeting The player was fined by the disciplinary committee.</div>
